USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,EVENT_VALUE
user1,1,1738640479,view,1.0
user1,2,1738640479,click,1.0
user2,1,1738640479,view,1.0
test_user,22,1737018558,view,4.0
test_user,22,1737018558,click,1.0
test_user,152,1738141758,view,3.0
test_user,152,1738141758,share,1.0
test_user,3,1738141758,view,4.0
test_user,3,1738141758,click,2.0
test_user,3,1738141758,share,1.0
test_user,160,1738573758,view,4.0
test_user,160,1738573758,click,1.0
logan,122,1736068158,view,1.0
logan,122,1736068158,click,3.0
logan,155,1736672958,view,1.0
logan,155,1736672958,click,3.0
logan,155,1736672958,share,1.0
logan,8,1736845758,view,1.0
logan,8,1736845758,click,3.0
logan,176,1736932158,view,5.0
logan,154,1738055358,view,5.0
logan,154,1738055358,click,2.0
logan,154,1738055358,share,1.0
loganzechella,151,1737191358,view,5.0
loganzechella,151,1737191358,click,1.0
loganzechella,151,1737191358,share,1.0
loganzechella,28,1736327358,view,5.0
loganzechella,28,1736327358,click,1.0
loganzechella,20,1736932158,view,5.0
loganzechella,20,1736932158,click,2.0
loganzechella,20,1736932158,share,1.0
loganzechella,14,1738314558,view,4.0
loganzechella,14,1738314558,click,3.0
loganzechella,14,1738314558,share,1.0
loganzechella,111,1737018558,view,2.0
loganzechella,111,1737018558,share,1.0
test_user,154,1737019009,view,1.0
test_user,171,1736068609,view,1.0
test_user,171,1736068609,click,3.0
test_user,121,1738660609,view,5.0
test_user,121,1738660609,click,3.0
test_user,121,1738660609,share,1.0
test_user,128,1736155009,view,2.0
test_user,128,1736155009,click,3.0
test_user,128,1736155009,share,1.0
logan,130,1738055809,view,1.0
logan,130,1738055809,click,2.0
logan,165,1736155009,view,3.0
logan,165,1736155009,click,1.0
logan,165,1736155009,share,1.0
logan,176,1738142209,view,2.0
logan,176,1738142209,click,2.0
logan,160,1738574209,view,4.0
logan,160,1738574209,click,2.0
logan,178,1736241409,view,4.0
logan,178,1736241409,click,3.0
logan,178,1736241409,share,1.0
loganzechella,10,1738401409,view,2.0
loganzechella,10,1738401409,click,1.0
loganzechella,163,1736414209,view,1.0
loganzechella,163,1736414209,click,2.0
loganzechella,168,1736414209,view,1.0
loganzechella,168,1736414209,click,1.0
loganzechella,168,1736414209,share,1.0
loganzechella,158,1736932609,view,1.0
loganzechella,158,1736932609,share,1.0
loganzechella,152,1736500609,view,5.0
test_user,183,1736637673,view,1.0
test_user,183,1736637673,click,3.0
test_user,13,1738624873,view,4.0
test_user,13,1738624873,click,3.0
logan,3,1737415273,view,2.0
logan,3,1737415273,click,3.0
logan,187,1738279273,view,3.0
logan,187,1738279273,share,1.0
logan,7,1736119273,view,4.0
loganzechella,183,1737415273,view,3.0
loganzechella,183,1737415273,click,2.0
loganzechella,149,1737760873,view,2.0
loganzechella,7,1736551273,view,5.0
loganzechella,7,1736551273,click,3.0
loganzechella,7,1736551273,share,1.0
loganzechella,179,1737242473,view,5.0
loganzechella,179,1737242473,click,2.0
loganzechella,161,1736551273,view,4.0
loganzechella,161,1736551273,click,3.0
synthetic_5f8081d6,111,1738444418,view,1.0
synthetic_5f8081d6,18,1737577178,view,1.0
synthetic_5f8081d6,18,1729649318,view,1.0
synthetic_5f8081d6,18,1738379438,click,1.0
synthetic_5f8081d6,10,1738581158,view,1.0
synthetic_5f8081d6,10,1723956398,click,1.0
synthetic_5f8081d6,10,1729448558,click,1.0
synthetic_5f8081d6,19,1723545758,click,1.0
synthetic_5f8081d6,19,1727154938,click,1.0
synthetic_5f8081d6,207,1735977098,view,1.0
synthetic_5f8081d6,31,1735060418,click,1.0
synthetic_5f8081d6,31,1723440158,view,1.0
synthetic_5f8081d6,31,1728272138,view,1.0
synthetic_5f8081d6,177,1734679778,view,1.0
synthetic_5f8081d6,173,1736055218,share,1.0
synthetic_5f8081d6,173,1724028878,view,1.0
synthetic_5f8081d6,176,1735520858,view,1.0
synthetic_5f8081d6,8,1732182518,view,1.0
synthetic_5f8081d6,208,1737470618,view,1.0
synthetic_5f8081d6,27,1733589458,view,1.0
synthetic_5f8081d6,27,1734213818,view,1.0
synthetic_5f8081d6,181,1734624278,view,1.0
synthetic_5f8081d6,181,1727914838,view,1.0
synthetic_5f8081d6,181,1726960898,view,1.0
synthetic_5f8081d6,197,1726483958,click,1.0
synthetic_5f8081d6,197,1723700378,view,1.0
synthetic_5f8081d6,161,1735369058,view,1.0
synthetic_5f8081d6,161,1725067838,click,1.0
synthetic_5f8081d6,161,1733482118,view,1.0
synthetic_5f8081d6,201,1731553298,share,1.0
synthetic_5f8081d6,201,1735637618,view,1.0
synthetic_5f8081d6,198,1723607558,view,1.0
synthetic_5f8081d6,198,1738163678,view,1.0
synthetic_5f8081d6,198,1727422838,share,1.0
synthetic_5f8081d6,203,1726485278,click,1.0
synthetic_5f8081d6,203,1736011058,view,1.0
synthetic_5f8081d6,203,1735829198,share,1.0
synthetic_5f8081d6,210,1726781198,view,1.0
synthetic_5f8081d6,210,1727061938,view,1.0
synthetic_5f8081d6,210,1737857738,share,1.0
synthetic_5f8081d6,11,1737172598,view,1.0
synthetic_5f8081d6,11,1733486558,view,1.0
synthetic_5f8081d6,11,1735875218,click,1.0
synthetic_5f8081d6,129,1728346718,view,1.0
synthetic_5f8081d6,129,1737673958,click,1.0
synthetic_5f8081d6,129,1734459998,view,1.0
synthetic_5f8081d6,160,1729063898,share,1.0
synthetic_5f8081d6,160,1730543318,view,1.0
synthetic_5f8081d6,187,1735475318,click,1.0
synthetic_5f8081d6,187,1737992738,view,1.0
synthetic_5f8081d6,211,1728754178,click,1.0
synthetic_5f8081d6,152,1731077258,view,1.0
synthetic_7922959e,21,1736969018,view,1.0
synthetic_7922959e,158,1727285738,view,1.0
synthetic_7922959e,206,1738640738,view,1.0
synthetic_7922959e,19,1735083458,view,1.0
synthetic_7922959e,19,1734742778,view,1.0
synthetic_7922959e,19,1736892038,view,1.0
synthetic_7922959e,185,1738180058,view,1.0
synthetic_7922959e,185,1727177018,click,1.0
synthetic_7922959e,185,1729074638,view,1.0
synthetic_7922959e,16,1729264178,share,1.0
synthetic_7922959e,30,1734026078,view,1.0
synthetic_7922959e,30,1726361978,view,1.0
synthetic_7922959e,30,1733776658,share,1.0
synthetic_7922959e,168,1723314818,view,1.0
synthetic_7922959e,168,1729414358,view,1.0
synthetic_7922959e,168,1735511198,view,1.0
synthetic_7922959e,203,1738275518,share,1.0
synthetic_7922959e,181,1738620038,view,1.0
synthetic_7922959e,181,1725816998,view,1.0
synthetic_7922959e,181,1734030998,click,1.0
synthetic_7922959e,152,1726762238,share,1.0
synthetic_7922959e,152,1737287018,click,1.0
synthetic_7922959e,188,1730231018,share,1.0
synthetic_7922959e,188,1729701998,view,1.0
synthetic_7922959e,188,1736896418,view,1.0
synthetic_7922959e,10,1734101198,view,1.0
synthetic_7922959e,10,1725267878,share,1.0
synthetic_7922959e,10,1725965318,view,1.0
synthetic_7922959e,115,1734735998,click,1.0
synthetic_7922959e,115,1726429658,share,1.0
synthetic_7922959e,115,1727422598,view,1.0
synthetic_7922959e,129,1723113758,view,1.0
synthetic_7922959e,129,1729123838,share,1.0
synthetic_7922959e,182,1731403058,view,1.0
synthetic_7922959e,182,1729599398,view,1.0
synthetic_7922959e,176,1733177318,view,1.0
synthetic_7922959e,176,1723635218,click,1.0
synthetic_7922959e,205,1730881898,share,1.0
synthetic_7922959e,20,1733802518,click,1.0
synthetic_7922959e,4,1734638858,click,1.0
synthetic_7922959e,15,1735855358,view,1.0
synthetic_7922959e,15,1724032118,view,1.0
synthetic_7922959e,160,1723222718,view,1.0
synthetic_7922959e,2,1734132698,view,1.0
synthetic_7922959e,122,1728649298,view,1.0
synthetic_7922959e,122,1726503938,view,1.0
synthetic_7922959e,122,1728676298,view,1.0
synthetic_7922959e,25,1733198798,view,1.0
synthetic_7922959e,25,1727247458,click,1.0
synthetic_7922959e,7,1737480398,share,1.0
synthetic_7922959e,178,1727565158,view,1.0
synthetic_7922959e,22,1732593098,view,1.0
synthetic_7922959e,150,1733899958,view,1.0
synthetic_7922959e,150,1729293038,click,1.0
synthetic_7922959e,150,1733594978,view,1.0
synthetic_7922959e,18,1735178018,view,1.0
synthetic_7922959e,120,1728525098,share,1.0
synthetic_7922959e,120,1726640798,view,1.0
synthetic_7922959e,120,1734077858,view,1.0
synthetic_e76c9572,173,1738572458,view,1.0
synthetic_e76c9572,210,1736951858,view,1.0
synthetic_e76c9572,210,1725377618,share,1.0
synthetic_e76c9572,29,1731274958,click,1.0
synthetic_e76c9572,14,1736014058,share,1.0
synthetic_e76c9572,14,1727481938,view,1.0
